Year,Month,Series,Net Sales Amt
2022,8,E201514 - HKDSE English Mock Papers - Level Up,3144.04
2022,9,E003384 - ABC for Nursery(1984),539.7
2022,9,E003402 - Baby Caterpillar(2002),547.2
2022,9,E003502 - Caterpillar 1(2002),3313.2
2022,9,E003602 - Caterpillar 2(2002),2671.8
2022,9,E004110 - English Learning Ladder(2010),17449.2
2022,9,E004700 - Learn with Stories - Shared Reading Programme(2000),11399
2022,9,E005399 - My First ABC(B1999),0
2022,9,E006203 - Playtime English(2003),559
2022,9,E006403 - Playtime English - Listen and Speak(2003),174.3
2022,9,E006504 - Playtime Phonics(2004),10629.19
2022,9,E006706 - Pre-School Step Up(2006),2822.5
2022,9,E007306 - Step Up Through Reading Pre-School(2006),7061.2
2022,9,E010406 - Pre-School Step Up - Picture Dictionary(2006),3735
2022,9,E012912 - Kiddie Funtime English (2012),22969.1
2022,9,E013313 - Funtime English (2013),90873.8
2022,9,E013513 - Little Wonders Readers (2013),5419
2022,9,E014815 - Phonic Around Us(2015),58857.1
2022,9,E015016 - Fun Around Us(2016),-7794.5
2022,9,E015022 - Fun Around Us(2022),76346.5
2022,9,E016219 - K2P Platform,15882
2022,9,E016421 - Preschool Multilingual Picture Dictionary,12387
2022,9,E300515 - Preschool Smart Sticker Activities,1768
2022,9,E300816 - Pre-school Tracing Fun,1192.1
2022,9,E300916 - Smart Early Learning,2348.1
2022,9,E301719 - Wonder Tales,57920.07
2022,9,E301820 - Happy Wonders,2223
2022,9,E903321 - Happy Wonders(Special Edition),0
2022,9,E014916 - Head Start(2017),207379.85
2022,9,E106510 - English to Enjoy(2010),699243.72
2022,9,E107599 - Step by Step Handwriting(B1999),416.95
2022,9,E107605 - Step Up(2005),300
2022,9,E107705 - Step Up through Reading(2005),3224
2022,9,E116211 - POP READERS(2011),63
2022,9,E117414 - Lighthouse for Hong Kong(2014),602992.85
2022,9,E119118 - STEM Reading Book,736.98
2022,9,E119219 - RaC Readers,26811.84
2022,9,E902218 - English Wonderland,291.64
2022,9,E902318 - Lighthouse for Hong Kong (Special Edition),5771.25
2022,9,E200309 - Skill Smart(2009),1214.29
2022,9,E201213 - Practice and Progress in the HKDSE(2013),47593.86
2022,9,E201412 - Exam Booster (2012),3658
2022,9,E201514 - HKDSE English Mock Papers - Level Up,413.34
2022,10,E003402 - Baby Caterpillar(2002),57.6
2022,10,E003502 - Caterpillar 1(2002),4230.3
2022,10,E003602 - Caterpillar 2(2002),4117.3
2022,10,E004110 - English Learning Ladder(2010),10244
2022,10,E004700 - Learn with Stories - Shared Reading Programme(2000),7410.3
2022,10,E005399 - My First ABC(B1999),0
2022,10,E006203 - Playtime English(2003),818
2022,10,E006403 - Playtime English - Listen and Speak(2003),35
2022,10,E006504 - Playtime Phonics(2004),661.8
2022,10,E006706 - Pre-School Step Up(2006),2389.2
2022,10,E007306 - Step Up Through Reading Pre-School(2006),779.8
2022,10,E010406 - Pre-School Step Up - Picture Dictionary(2006),540
2022,10,E012912 - Kiddie Funtime English (2012),14651
2022,10,E013212 - DoReMi Phonics,70
2022,10,E013313 - Funtime English (2013),2102.6
2022,10,E013513 - Little Wonders Readers (2013),5037.3
2022,10,E014815 - Phonic Around Us(2015),16947.5
2022,10,E015016 - Fun Around Us(2016),-1028.2
2022,10,E015022 - Fun Around Us(2022),54496.35
2022,10,E016219 - K2P Platform,23367
2022,10,E016421 - Preschool Multilingual Picture Dictionary,11361
2022,10,E300415 - Preschool Smart Activities (2015),36.1
2022,10,E300515 - Preschool Smart Sticker Activities,0
2022,10,E300816 - Pre-school Tracing Fun,76.5
2022,10,E300916 - Smart Early Learning,144.4
2022,10,E301719 - Wonder Tales,106443.91
2022,10,E301820 - Happy Wonders,1530
2022,10,E014916 - Head Start(2017),405901.89
2022,10,E106510 - English to Enjoy(2010),337857.05
2022,10,E107599 - Step by Step Handwriting(B1999),31
2022,10,E107705 - Step Up through Reading(2005),1887.48
2022,10,E107803 - StoryLand Phonics(2003),0
2022,10,E116211 - POP READERS(2011),-279
2022,10,E117414 - Lighthouse for Hong Kong(2014),266349.43
2022,10,E119118 - STEM Reading Book,63.9
2022,10,E119219 - RaC Readers,340.7
2022,10,E902218 - English Wonderland,145.82
2022,10,E201213 - Practice and Progress in the HKDSE(2013),1378.4
2022,10,E201412 - Exam Booster (2012),3366
2022,10,E201514 - HKDSE English Mock Papers - Level Up,2755.6
2022,11,E003384 - ABC for Nursery(1984),126
2022,11,E003402 - Baby Caterpillar(2002),-383.8
2022,11,E003502 - Caterpillar 1(2002),-247.6
2022,11,E003602 - Caterpillar 2(2002),42.9
2022,11,E004110 - English Learning Ladder(2010),34209.4
2022,11,E004700 - Learn with Stories - Shared Reading Programme(2000),-412.9
2022,11,E005399 - My First ABC(B1999),0
2022,11,E006203 - Playtime English(2003),150
2022,11,E006303 - Playtime English - Chant and Act(2003),9.2
2022,11,E006504 - Playtime Phonics(2004),190.32
2022,11,E006706 - Pre-School Step Up(2006),792.9
2022,11,E007306 - Step Up Through Reading Pre-School(2006),-305.6
2022,11,E010406 - Pre-School Step Up - Picture Dictionary(2006),1890
2022,11,E012912 - Kiddie Funtime English (2012),4340.15
2022,11,E013212 - DoReMi Phonics,121
2022,11,E013313 - Funtime English (2013),14204.2
2022,11,E013513 - Little Wonders Readers (2013),5264.4
2022,11,E014815 - Phonic Around Us(2015),52687.4
2022,11,E015016 - Fun Around Us(2016),162252.3
2022,11,E015022 - Fun Around Us(2022),73993.35
2022,11,E015518 - 育才小天地,69
2022,11,E016219 - K2P Platform,6130
2022,11,E016421 - Preschool Multilingual Picture Dictionary,1596
2022,11,E300415 - Preschool Smart Activities (2015),36.1
2022,11,E300916 - Smart Early Learning,44
2022,11,E301719 - Wonder Tales,12624.5
2022,11,E301820 - Happy Wonders,9096
2022,11,E014916 - Head Start(2017),1067408.85
2022,11,E106510 - English to Enjoy(2010),345471.1
2022,11,E107599 - Step by Step Handwriting(B1999),124
2022,11,E107605 - Step Up(2005),73.5
2022,11,E107705 - Step Up through Reading(2005),244.02
2022,11,E107803 - StoryLand Phonics(2003),74.7
2022,11,E116211 - POP READERS(2011),5345.2
2022,11,E117414 - Lighthouse for Hong Kong(2014),1081389.6
2022,11,E119118 - STEM Reading Book,6390
2022,11,E119219 - RaC Readers,14229.52
2022,11,E902218 - English Wonderland,80694.9
2022,11,E902318 - Lighthouse for Hong Kong (Special Edition),117605.25
2022,11,E201213 - Practice and Progress in the HKDSE(2013),98
2022,11,E201514 - HKDSE English Mock Papers - Level Up,413.34
2022,12,E003384 - ABC for Nursery(1984),1155
2022,12,E003402 - Baby Caterpillar(2002),0
2022,12,E003502 - Caterpillar 1(2002),9263.7
2022,12,E003602 - Caterpillar 2(2002),6854.7
2022,12,E004110 - English Learning Ladder(2010),162321.9
2022,12,E004700 - Learn with Stories - Shared Reading Programme(2000),5439.32
2022,12,E005399 - My First ABC(B1999),24
2022,12,E006203 - Playtime English(2003),225
2022,12,E006403 - Playtime English - Listen and Speak(2003),58.1
2022,12,E006504 - Playtime Phonics(2004),59150.94
2022,12,E006706 - Pre-School Step Up(2006),134.2
2022,12,E007306 - Step Up Through Reading Pre-School(2006),15683
2022,12,E012912 - Kiddie Funtime English (2012),41702.3
2022,12,E013212 - DoReMi Phonics,588
2022,12,E013313 - Funtime English (2013),103641.45
2022,12,E013513 - Little Wonders Readers (2013),2701.3
2022,12,E014815 - Phonic Around Us(2015),60973.05
2022,12,E015016 - Fun Around Us(2016),203467.6
2022,12,E015022 - Fun Around Us(2022),436994.2
2022,12,E016219 - K2P Platform,2495
2022,12,E016421 - Preschool Multilingual Picture Dictionary,15426
2022,12,E300415 - Preschool Smart Activities (2015),36.1
2022,12,E300816 - Pre-school Tracing Fun,442
2022,12,E301719 - Wonder Tales,315373.52
2022,12,E301820 - Happy Wonders,13717.5
2022,12,E014916 - Head Start(2017),3402501.83
2022,12,E106510 - English to Enjoy(2010),786134.69
2022,12,E107605 - Step Up(2005),3289.9
2022,12,E107705 - Step Up through Reading(2005),8923.35
2022,12,E107803 - StoryLand Phonics(2003),22036.5
2022,12,E116211 - POP READERS(2011),24423.16
2022,12,E117414 - Lighthouse for Hong Kong(2014),1691441.71
2022,12,E119118 - STEM Reading Book,63.9
2022,12,E119219 - RaC Readers,17972.88
2022,12,E902117 - Better English (Lighthouse for Hong Kong),25974.65
2022,12,E902218 - English Wonderland,279
2022,12,E902318 - Lighthouse for Hong Kong (Special Edition),97470
2022,12,E201213 - Practice and Progress in the HKDSE(2013),882
2022,12,E201514 - HKDSE English Mock Papers - Level Up,854.9
